
=== LR(1) Transition Table (1802 entries) ===
  State 42 --( false )--> State 12
  State 42 --( Access )--> State 48
  State 42 --( AccessBase )--> State 49
  State 42 --( Identifier )--> State 50
  State 42 --( Negative )--> State 39
  State 43 --( Factor )--> State 4
  State 43 --( - )--> State 5
  State 43 --( ( )--> State 46
  State 43 --( integer )--> State 7
  State 43 --( floating )--> State 8
  State 43 --( name )--> State 47
  State 43 --( litstring )--> State 10
  State 43 --( true )--> State 11
  State 43 --( false )--> State 12
  State 43 --( Access )--> State 48
  State 43 --( AccessBase )--> State 49
  State 43 --( Identifier )--> State 50
  State 43 --( Negative )--> State 99
  State 44 --( Factor )--> State 4
  State 44 --( - )--> State 5
  State 44 --( ( )--> State 46
  State 44 --( integer )--> State 7
  State 44 --( floating )--> State 8
  State 44 --( name )--> State 47
  State 44 --( litstring )--> State 10
  State 44 --( true )--> State 11
  State 44 --( false )--> State 12
  State 44 --( Access )--> State 48
  State 44 --( AccessBase )--> State 49
  State 44 --( Identifier )--> State 50
  State 44 --( Negative )--> State 100
  State 46 --( Expr )--> State 101
  State 46 --( Eval )--> State 52
  State 46 --( Term )--> State 53
  State 46 --( Factor )--> State 54
  State 46 --( - )--> State 55
  State 46 --( ( )--> State 56
  State 46 --( integer )--> State 57
  State 46 --( floating )--> State 58
  State 46 --( name )--> State 59
  State 46 --( litstring )--> State 60
  State 46 --( true )--> State 61
  State 46 --( false )--> State 62
  State 46 --( Access )--> State 63
  State 46 --( AccessBase )--> State 64
  State 46 --( Identifier )--> State 65
  State 46 --( Relation )--> State 66
  State 46 --( LogAnd )--> State 67
  State 46 --( Negative )--> State 68
  State 48 --( ( )--> State 102
  State 48 --( [ )--> State 103
  State 48 --( . )--> State 104
  State 51 --( ) )--> State 105
  State 51 --( || )--> State 106
  State 52 --( + )--> State 107
  State 52 --( - )--> State 108
  State 53 --( * )--> State 109
  State 53 --( / )--> State 110
  State 55 --( Factor )--> State 111
  State 55 --( ( )--> State 56
  State 55 --( integer )--> State 57
  State 55 --( floating )--> State 58
  State 55 --( name )--> State 59
  State 55 --( litstring )--> State 60
  State 55 --( true )--> State 61
  State 55 --( false )--> State 62
  State 55 --( Access )--> State 63
  State 55 --( AccessBase )--> State 64
  State 55 --( Identifier )--> State 65
  State 56 --( Expr )--> State 112
  State 56 --( Eval )--> State 52
  State 56 --( Term )--> State 53
  State 56 --( Factor )--> State 54
  State 56 --( - )--> State 55
  State 56 --( ( )--> State 56
  State 56 --( integer )--> State 57
  State 56 --( floating )--> State 58
  State 56 --( name )--> State 59
  State 56 --( litstring )--> State 60
  State 56 --( true )--> State 61
  State 56 --( false )--> State 62
  State 56 --( Access )--> State 63
  State 56 --( AccessBase )--> State 64
  State 56 --( Identifier )--> State 65
  State 56 --( Relation )--> State 66
  State 56 --( LogAnd )--> State 67
  State 56 --( Negative )--> State 68
  State 63 --( ( )--> State 113
  State 63 --( [ )--> State 114
  State 63 --( . )--> State 115
  State 66 --( =? )--> State 89
  State 66 --( >= )--> State 90
  State 66 --( <= )--> State 91
  State 66 --( > )--> State 92
  State 66 --( < )--> State 93
  State 66 --( RelOp )--> State 116
  State 67 --( && )--> State 117
  State 69 --( Expr )--> State 118
  State 69 --( Eval )--> State 119
  State 69 --( Term )--> State 120
  State 69 --( Factor )--> State 121
  State 69 --( - )--> State 122
  State 69 --( ( )--> State 123
  State 69 --( integer )--> State 124
  State 69 --( floating )--> State 125
  State 69 --( name )--> State 126
  State 69 --( litstring )--> State 127
  State 69 --( true )--> State 128
  State 69 --( false )--> State 129
  State 69 --( Access )--> State 130
  State 69 --( AccessBase )--> State 131
  State 69 --( Args )--> State 132
  State 69 --( ArgList )--> State 133
  State 69 --( Identifier )--> State 134
  State 69 --( Relation )--> State 135
  State 69 --( LogAnd )--> State 136
  State 69 --( Negative )--> State 137
  State 70 --( Expr )--> State 138
  State 70 --( Eval )--> State 139
  State 70 --( Term )--> State 140
  State 70 --( Factor )--> State 141
  State 70 --( - )--> State 142
  State 70 --( ( )--> State 143
  State 70 --( integer )--> State 144
  State 70 --( floating )--> State 145
  State 70 --( name )--> State 146
  State 70 --( litstring )--> State 147
  State 70 --( true )--> State 148
  State 70 --( false )--> State 149
  State 70 --( Access )--> State 150
  State 70 --( AccessBase )--> State 151
  State 70 --( Identifier )--> State 152
  State 70 --( Relation )--> State 153
  State 70 --( LogAnd )--> State 154
  State 70 --( Negative )--> State 155
  State 71 --( name )--> State 9
  State 71 --( Identifier )--> State 156
  State 72 --( Expr )--> State 157
  State 72 --( Eval )--> State 2
  State 72 --( Term )--> State 3
  State 72 --( Factor )--> State 4
  State 72 --( - )--> State 5
  State 72 --( ( )--> State 46
  State 72 --( integer )--> State 7
  State 72 --( floating )--> State 8
  State 72 --( name )--> State 47
  State 72 --( litstring )--> State 10
  State 72 --( true )--> State 11
  State 72 --( false )--> State 12
  State 72 --( Access )--> State 48
  State 72 --( AccessBase )--> State 49
  State 72 --( Identifier )--> State 50
  State 72 --( Relation )--> State 37
  State 72 --( LogAnd )--> State 38
  State 72 --( Negative )--> State 39
  State 73 --( Expr )--> State 158
  State 73 --( Eval )--> State 52
  State 73 --( Term )--> State 53
  State 73 --( Factor )--> State 54
  State 73 --( - )--> State 55
  State 73 --( ( )--> State 56
  State 73 --( integer )--> State 57
  State 73 --( floating )--> State 58
  State 73 --( name )--> State 59
  State 73 --( litstring )--> State 60
  State 73 --( true )--> State 61
  State 73 --( false )--> State 62
  State 73 --( Access )--> State 63
  State 73 --( AccessBase )--> State 64
  State 73 --( Identifier )--> State 65
  State 73 --( Relation )--> State 66
  State 73 --( LogAnd )--> State 67
  State 73 --( Negative )--> State 68
  State 74 --( Expr )--> State 159
  State 74 --( Eval )--> State 52
  State 74 --( Term )--> State 53
  State 74 --( Factor )--> State 54
  State 74 --( - )--> State 55
  State 74 --( ( )--> State 56
  State 74 --( integer )--> State 57
  State 74 --( floating )--> State 58
  State 74 --( name )--> State 59
  State 74 --( litstring )--> State 60
  State 74 --( true )--> State 61
  State 74 --( false )--> State 62
  State 74 --( Access )--> State 63
  State 74 --( AccessBase )--> State 64
  State 74 --( Identifier )--> State 65
  State 74 --( Relation )--> State 66
  State 74 --( LogAnd )--> State 67
